id,label,docker_model_runner,family,architecture,params_b,quantization,precision_bits,specialization,experiments,enabled,notes
gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,A,True,
gemma-7b-q4,Gemma 7B Q4,gemma:7b-instruct-q4_K_M,Gemma,Gemma,7.0,q4,4,general,"A,B,C",True,
phi3-3.8b-q4,Phi-3 3.8B Q4,phi3:3.8b-mini-4k-instruct-q4_K_M,Phi3,Phi3,3.8,q4,4,general,A,True,
phi3-14b-q4,Phi-3 14B Q4,phi3:14b-medium-4k-instruct-q4_K_M,Phi3,Phi3,14.0,q4,4,general,"A,B",True,
granite-code-3b-q4,Granite Code 3B Q4,granite-code:3b,Granite,Granite,3.0,q4,4,code,A,True,
granite-code-8b-q4,Granite Code 8B Q4,granite-code:8b,Granite,Granite,8.0,q4,4,code,A,True,
granite-code-20b-q4,Granite Code 20B Q4,granite-code:20b,Granite,Granite,20.0,q4,4,code,A,True,
codellama-7b-q4,CodeLlama 7B Q4,codellama:7b-code-q4_K_M,CodeLlama,LLaMA,7.0,q4,4,code,"A,B,C,D",True,
codellama-13b-q4,CodeLlama 13B Q4,codellama:13b-code-q4_K_M,CodeLlama,LLaMA,13.0,q4,4,code,A,True,
gemma-7b-q8,Gemma 7B Q8,gemma:7b-instruct-q8_0,Gemma,Gemma,7.0,q8,8,general,B,True,
gemma-7b-fp16,Gemma 7B FP16,gemma:7b-instruct-fp16,Gemma,Gemma,7.0,fp16,16,general,B,True,
phi3-14b-q8,Phi-3 14B Q8,phi3:14b-medium-4k-instruct-q8_0,Phi3,Phi3,14.0,q8,8,general,B,True,
phi3-14b-fp16,Phi-3 14B FP16,phi3:14b-medium-4k-instruct-fp16,Phi3,Phi3,14.0,fp16,16,general,B,True,
codellama-7b-q8,CodeLlama 7B Q8,codellama:7b-code-q8_0,CodeLlama,LLaMA,7.0,q8,8,code,B,True,
codellama-7b-fp16,CodeLlama 7B FP16,codellama:7b-code-fp16,CodeLlama,LLaMA,7.0,fp16,16,code,B,True,
mistral-7b-q4,Mistral 7B Q4,mistral:7b-instruct-v0.3-q4_K_M,Mistral,Mistral,7.0,q4,4,general,C,True,
deepseek-coder-6.7b-q4,DeepSeek Coder 6.7B Q4,deepseek-coder:6.7b-instruct-q4_K_M,DeepSeek Coder,DeepSeek,6.7,q4,4,code,C,True,
nomic-embed-text,Nomic Embed Text,nomic-embed-text:latest,Nomic,Embedding,0.0,q4,4,embedding,"C,E",True,
mxbai-embed-large,mxbai Embed Large,mxbai-embed-large:latest,mixedbread,Embedding,0.0,q4,4,embedding,"C,E",True,
