run_id,timestamp_unix,experiment_tags,model_id,model_label,ollama_model,family,architecture,params_b,quantization,precision_bits,specialization,hardware_profile,hardware_label,workload,item_id,repeat,network_s,load_s,tokenization_s,inference_s,postprocess_s,total_latency_s,elapsed_s,cpu_energy_j,gpu_energy_j,total_energy_j,cpu_util_avg_pct,gpu_power_avg_w,gpu_power_peak_w,gpu_util_avg_pct,gpu_mem_peak_mb,gpu_mem_avg_mb,gpu_count,source,score,is_correct,error,input_tokens,output_tokens,total_tokens,tokens_per_sec,tokens_per_joule,cost_per_request_usd,response,status,matched_keywords,predicted_doc_id,top_similarity,gpu_idle_power_w_used,net_gpu_energy_j,active_device_energy_j,active_tokens_per_joule
1778604092396_gemma-2b-q4_l40s_gpu_code_fib_r0,1778604157.3692524,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,code_generation,code_fib,0,0.0407439550000003,62.55784428,0.007669469,2.334385555,0.0031564529998746,64.94379971199987,64.94429244399998,582.838944522431,5064.098617295827,5646.9375618182585,7.478703703703704,78.02497222222222,120.682,0.4537037037037037,3572.625,3403.572627314815,1,cpu:tdp_estimate;gpu:nvml,1.0,True,,64,113,177,48.40674230440053,0.0200108463681357,0.0273424687297575,"```python
def fib(n: int) -> int:
    """"""
    Returns the nth Fibonacci number using zero-based indexing.

    Args:
        n (int): The index of the Fibonacci number to return.

    Returns:
        int: The nth Fibonacci number.
    """"""

    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        return fib(n-1) + fib(n-2)
```",ok,,,,31.117607189542483,3043.1876358206637,3043.1876358206637,0.03713211721482531
1778604157371_gemma-2b-q4_l40s_gpu_code_dedupe_r0,1778604158.1868954,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,code_generation,code_dedupe,0,0.0627659039999999,0.158636716,0.007409952,0.55855019,0.0028596369999583,0.7902223989999584,0.7906679590000749,7.246471844235686,93.88624633251403,101.13271817674972,7.6375,133.496625,150.591,65.625,3574.625,3574.125,1,cpu:tdp_estimate;gpu:nvml,0.0,False,,71,180,251,322.2628927939314,1.7798394352005238,0.0003345016188255,"```python
def dedupe_keep_order(items: list[int]) -> list[int]:
    """"""
    Remove duplicates while preserving the first occurrence order.

    Args:
        items (list[int]): The input list.

    Returns:
        list[int]: The list with duplicates removed.
    """"""

    # Create a dictionary to store the first occurrences of each item.
    first_occurrences = {}

    # Create a new list to store the unique items.
    unique_items = []

    # Iterate through the input list.
    for item in items:
        # If the item is not in the dictionary, add it to the dictionary.
        if item not in first_occurrences:
            first_occurrences[item] = 0
        # Increment the count of the first",ok,,,,31.117607189542483,69.28255136699242,69.28255136699242,2.598056746590247
1778604158189_gemma-2b-q4_l40s_gpu_code_slug_r0,1778604158.8548632,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,code_generation,code_slug,0,0.048427247,0.14936443,0.006992513,0.433465189,0.0025052380000841,0.6407546170000842,0.6411875470000723,6.265318316400705,126.03428721791364,132.29960553431434,8.142857142857142,210.70057142857144,224.41,62.42857142857143,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,0.0,False,,73,141,214,325.28563672041497,1.0657628148666631,0.0002737764581934,"```python
def slugify(text: str) -> str:
    """"""
    Lowercase text, replace non-alphanumeric runs with one hyphen, and trim hyphens.

    Args:
        text (str): The text to slugify.

    Returns:
        str: The slugified text.
    """"""

    # Convert all characters to lowercase.
    text = text.lower()

    # Replace non-alphanumeric characters with a single hyphen.
    text = """".join([ch for ch in text if ch.isalnum()])

    # Trim any leading or trailing hyphens.
    return text.strip(""-"")
```",ok,,,,31.117607189542483,106.08206499553908,106.08206499553908,1.3291596464108166
1778604158857_gemma-2b-q4_l40s_gpu_sum_energy_r0,1778604159.2603052,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,summarization,sum_energy,0,0.024828929,0.147459925,0.00857357,0.207843481,0.002412966999879,0.391118871999879,0.3915443010000672,3.418181747730588,65.28511144376837,68.70329319149896,7.275,213.806,225.0,50.0,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,1.0,True,,100,68,168,327.1692702259928,0.9897633263439258,0.0001665786234096,"Sure, here's a summary of the document in three concise bullets:

- The team is migrating from hosted LLM calls to local inference.


- They are concerned with latency, joules per request, cost per thousand tokens, and GPU utilization.


- They are exploring batching to improve performance on different hardware types.",ok,4.0,,,31.117607189542483,53.1011896879443,53.1011896879443,1.2805739456989647
1778604159263_gemma-2b-q4_l40s_gpu_sum_quant_r0,1778604159.7011492,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,summarization,sum_quant,0,0.029368084,0.147491686,0.007039665,0.239867207,0.0025119680000539,0.4262786100000539,0.4266924210000979,3.543253863984813,79.29272394058916,82.83597780457397,6.92,196.259,196.473,63.4,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,1.0,True,,83,78,161,325.1799234065372,0.9416198379889597,0.0001819303076402,"Sure, here's a summary of the document in three concise bullets:

- Quantization compresses model weights to fit smaller VRAM budgets.
- Four-bit models can preserve enough accuracy for everyday workloads while improving throughput and reducing energy per generated token.
- Quantization can help to improve the performance of language models by reducing the amount of memory they need to store.",ok,4.0,,,31.117607189542483,66.01507679315323,66.01507679315323,1.1815482733497296
1778604159703_gemma-2b-q4_l40s_gpu_sum_ops_r0,1778604160.1192005,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,summarization,sum_ops,0,0.0257770279999999,0.149483122,0.007080645,0.218404921,0.0027484939999625,0.4034942099999625,0.4039760209998349,3.975124046638375,57.027286271659975,61.00241031829835,8.2,186.07575,196.931,75.5,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,1.0,True,,85,71,156,325.0842502765769,1.163888437023,0.0001713734625991,"Sure, here's a summary of the document in three concise bullets:

- Infrastructure teams need observability for LLM inference with traces and dashboards.


- The observability should provide concrete cost or infrastructure factors.


- The solution should offer a unified view of tokenization, model inference, memory movement, power draw, and final cost.",ok,4.0,,,31.117607189542483,44.456519136192746,44.456519136192746,1.597066108178447
1778604160121_gemma-2b-q4_l40s_gpu_chat_choose_model_r0,1778604160.6480792,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,chat_completion,chat_choose_model,0,0.0374653119999999,0.148580381,0.006746647,0.319213277,0.0026345919999355,0.5146402089999356,0.5150658279999334,4.542880602959413,92.70414391838496,97.24702452134436,7.35,185.44566666666665,204.767,61.0,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,0.6666666666666666,False,,56,104,160,325.80098477545465,1.0694414611849994,0.0002194731128927,"The developer should consider the intended use case and the available resources. A 7B LLM might be suitable for tasks requiring faster access to information, while a 14B LLM might be better for long-running or resource-constrained applications. Additionally, the cost of the LLM should be taken into account, as both 7B and 14B models can be expensive. Finally, the quality of the LLM should be evaluated, as it can significantly impact the performance of the application.",ok,2.0,,,31.117607189542483,76.67652780592658,76.67652780592658,1.356347280920583
1778604160650_gemma-2b-q4_l40s_gpu_chat_gpu_cpu_r0,1778604161.303102,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,chat_completion,chat_gpu_cpu,0,0.0492197139999999,0.1502299,0.007008223,0.431449404,0.0028606959999641,0.6407679369999641,0.6412069680000059,5.21026461997719,121.56272519055116,126.77298981052836,6.771428571428571,201.75942857142857,208.566,68.0,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,0.6666666666666666,False,,43,140,183,324.48764258809825,1.104336185564767,0.0002735082194905,"Sure, here's a simple explanation of when CPU and GPU inference are acceptable:

**CPU Inference:**

* When the data is too large to fit into memory.
* When the CPU is faster than the GPU.
* When you need to perform complex calculations that require a lot of CPU instructions.

**GPU Inference:**

* When the data is large enough to fit into memory.
* When the GPU is faster than the CPU.
* When you need to perform calculations that require a lot of GPU instructions.

**Here's a simple Python code example to illustrate the difference:**

```python
# CPU inference
def cpu_inference(data):
  ",ok,2.0,,,31.117607189542483,101.60989863312945,101.60989863312945,1.377818518503606
1778604161305_gemma-2b-q4_l40s_gpu_chat_tokens_joule_r0,1778604161.9551923,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,chat_completion,chat_tokens_joule,0,0.050142492,0.147317572,0.006758978,0.430540375,0.0027502739998773,0.6375096909998774,0.63798949299985,7.382449847569692,126.56395263392376,133.94640248149346,9.642857142857142,210.04685714285716,220.121,70.85714285714286,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,0.6666666666666666,False,,39,140,179,325.17275528456537,1.0451941777185312,0.0002725262755406,"Sure, here's the definition of tokens per joule and why it's useful for choosing LLM infrastructure:

**Tokens per Joule (TJP)**

Tokens per joule (TJP) is a metric that indicates the amount of computational power required to perform a specific task. It is typically measured in teraflops (TF), where 1 TJP is equal to 10^12 operations per second.

**Importance of TJP for LLM Infrastructure:**

* **Cost optimization:** By understanding the TJP of different LLM infrastructure providers, you can make informed decisions about where to deploy your LLM. Providers with lower TJPs can offer more",ok,2.0,,,31.117607189542483,106.71124619969906,106.71124619969906,1.3119516919332428
1778604161957_gemma-2b-q4_l40s_gpu_rag_quant_r0,1778604162.2223349,A,gemma-2b-q4,Gemma 2B Q4,gemma:2b-instruct-q4_K_M,Gemma,Gemma,2.0,q4,4,general,l40s_gpu,L40S GPU,semantic_search,rag_quant,0,0.010722091,0.166379626,0.010039944,0.063050108,0.0025035879999932,0.2526953569999932,0.2530525549998401,9.54514237459397,46.080326782873605,55.62546915746758,31.433333333333337,225.352,230.682,88.0,3574.625,3574.625,1,cpu:tdp_estimate;gpu:nvml,0.0,False,,145,21,166,333.068422341164,0.3775249057325174,0.0001082198380411,"The context does not specify a document id, so I cannot return the requested information from the context.",ok,,the,,31.117607189542483,38.20593677807849,38.20593677807849,0.5496527966839232
